game_index,white_agent,black_agent,winner,white_won,black_won,draw,moves,termination_reason,white_avg_nodes,black_avg_nodes,white_avg_time,black_avg_time,total_avg_nodes,total_avg_time
45,Agent_capture_threats,Agent_bishop_pair__piece_position,draw,0,0,1,60,move_cap,373.13,376.47,0.028296,0.011583,374.8,0.01994
46,Agent_capture_threats,Agent_bishop_pair__rook_activity,b,0,1,0,32,king_exploded,568.5,587.44,0.055113,0.034685,577.97,0.044899
47,Agent_capture_threats,Agent_capture_threats__center_control,b,0,1,0,34,king_exploded,952.53,1038.71,0.095463,0.134903,995.62,0.115183
48,Agent_capture_threats,Agent_capture_threats__enemy_king_danger,b,0,1,0,50,king_exploded,644.36,624.48,0.062465,0.091276,634.42,0.07687
49,Agent_capture_threats,Agent_capture_threats__king_safety,draw,0,0,1,60,move_cap,586.6,506.6,0.04825,0.046254,546.6,0.047252
50,Agent_capture_threats,Agent_capture_threats__material,draw,0,0,1,60,move_cap,600.03,636.17,0.052651,0.061242,618.1,0.056947
51,Agent_capture_threats,Agent_capture_threats__mobility,draw,0,0,1,60,move_cap,484.5,534.43,0.038894,0.079764,509.47,0.059329
52,Agent_capture_threats,Agent_capture_threats__pawn_structure,draw,0,0,1,60,move_cap,892.1,948.43,0.085775,0.13656,920.27,0.111167
53,Agent_capture_threats,Agent_capture_threats__piece_position,draw,0,0,1,60,move_cap,373.13,376.47,0.028454,0.031088,374.8,0.029771
54,Agent_capture_threats,Agent_capture_threats__rook_activity,b,0,1,0,54,king_exploded,665.85,652.07,0.05688,0.062252,658.96,0.059566
55,Agent_capture_threats,Agent_center_control__enemy_king_danger,b,0,1,0,42,king_exploded,584.67,677.24,0.051063,0.055293,630.95,0.053178
56,Agent_capture_threats,Agent_center_control__king_safety,b,0,1,0,46,king_exploded,815.83,860.13,0.068782,0.047069,837.98,0.057925
57,Agent_capture_threats,Agent_center_control__material,b,0,1,0,32,king_exploded,788.5,795.31,0.08591,0.043401,791.91,0.064655
58,Agent_center_control,Agent_bishop_pair,b,0,1,0,52,checkmate,722.19,724.23,0.034355,0.016196,723.21,0.025276
59,Agent_center_control,Agent_capture_threats,draw,0,0,1,60,move_cap,908.73,970.03,0.039968,0.086461,939.38,0.063215
60,Agent_center_control,Agent_enemy_king_danger,draw,0,0,1,60,move_cap,830.5,845.37,0.036053,0.048499,837.93,0.042276
61,Agent_center_control,Agent_king_safety,b,0,1,0,36,king_exploded,760.28,874.17,0.033082,0.017832,817.22,0.025457
62,Agent_center_control,Agent_material,draw,0,0,1,60,move_cap,679.03,676.2,0.038006,0.014468,677.62,0.026237
63,Agent_center_control,Agent_mobility,draw,0,0,1,60,move_cap,1097.1,1087.9,0.046698,0.096214,1092.5,0.071456
64,Agent_center_control,Agent_pawn_structure,draw,0,0,1,60,move_cap,661.73,672.4,0.03429,0.031665,667.07,0.032977
65,Agent_center_control,Agent_piece_position,draw,0,0,1,60,move_cap,471.1,678.13,0.023446,0.016618,574.62,0.020032
66,Agent_center_control,Agent_rook_activity,w,1,0,0,19,king_exploded,991.2,1059.78,0.051442,0.026557,1025.49,0.038999
67,Agent_center_control,Agent_bishop_pair__capture_threats,draw,0,0,1,60,move_cap,908.73,970.03,0.060576,0.118342,939.38,0.089459
68,Agent_center_control,Agent_bishop_pair__center_control,b,0,1,0,20,checkmate,799.5,1105.1,0.040944,0.065668,952.3,0.053306
69,Agent_center_control,Agent_bishop_pair__enemy_king_danger,b,0,1,0,14,king_exploded,623.71,816.71,0.030194,0.058256,720.21,0.044225
70,Agent_center_control,Agent_bishop_pair__king_safety,draw,0,0,1,60,move_cap,432.67,1041.7,0.018754,0.034234,737.18,0.026494
71,Agent_center_control,Agent_bishop_pair__material,b,0,1,0,36,checkmate,914.83,917.89,0.051074,0.027727,916.36,0.0394
72,Agent_center_control,Agent_bishop_pair__mobility,b,0,1,0,22,king_exploded,790.55,968.64,0.041548,0.100557,879.59,0.071053
73,Agent_center_control,Agent_bishop_pair__pawn_structure,w,1,0,0,47,checkmate,1112.46,1121.0,0.064442,0.067459,1116.73,0.06595
74,Agent_center_control,Agent_bishop_pair__piece_position,w,1,0,0,29,checkmate,901.67,1018.93,0.039361,0.032801,960.3,0.036081
75,Agent_center_control,Agent_bishop_pair__rook_activity,draw,0,0,1,60,move_cap,680.73,714.87,0.032559,0.026076,697.8,0.029318
76,Agent_center_control,Agent_capture_threats__center_control,b,0,1,0,52,king_exploded,795.04,894.58,0.031501,0.09526,844.81,0.063381
77,Agent_center_control,Agent_capture_threats__enemy_king_danger,draw,0,0,1,60,move_cap,1030.87,989.9,0.040262,0.13828,1010.38,0.089271
78,Agent_center_control,Agent_capture_threats__king_safety,draw,0,0,1,60,move_cap,897.23,791.07,0.039485,0.072105,844.15,0.055795
79,Agent_center_control,Agent_capture_threats__material,b,0,1,0,34,checkmate,910.18,1082.06,0.03953,0.103281,996.12,0.071406
80,Agent_center_control,Agent_capture_threats__mobility,b,0,1,0,18,king_exploded,911.67,1060.44,0.040325,0.195749,986.06,0.118037
81,Agent_center_control,Agent_capture_threats__pawn_structure,draw,0,0,1,60,move_cap,723.9,772.43,0.033102,0.085144,748.17,0.059123
82,Agent_center_control,Agent_capture_threats__piece_position,w,1,0,0,33,checkmate,850.47,855.12,0.040533,0.081595,852.8,0.061064
83,Agent_center_control,Agent_capture_threats__rook_activity,draw,0,0,1,60,move_cap,1114.5,1201.2,0.049119,0.123305,1157.85,0.086212
84,Agent_center_control,Agent_center_control__enemy_king_danger,b,0,1,0,12,king_exploded,1081.0,1194.5,0.041678,0.091483,1137.75,0.066581
85,Agent_center_control,Agent_center_control__king_safety,draw,0,0,1,60,move_cap,749.2,776.0,0.034199,0.042148,762.6,0.038173
86,Agent_center_control,Agent_center_control__material,b,0,1,0,16,king_exploded,1351.88,1274.12,0.063086,0.065619,1313.0,0.064353
87,Agent_enemy_king_danger,Agent_bishop_pair,w,1,0,0,21,checkmate,656.18,656.3,0.035314,0.013617,656.24,0.024466
88,Agent_enemy_king_danger,Agent_capture_threats,draw,0,0,1,60,move_cap,881.43,870.97,0.041448,0.074544,876.2,0.057996
