feature,agents_with,avg_rate_with,agents_without,avg_rate_without,lift
bishop_pair,1,0.5,9,0.5,0.0
capture_threats,1,0.5,9,0.5,0.0
center_control,1,0.5,9,0.5,0.0
enemy_king_danger,1,0.5,9,0.5,0.0
king_safety,1,0.5,9,0.5,0.0
material,1,0.5,9,0.5,0.0
mobility,1,0.5,9,0.5,0.0
pawn_structure,1,0.5,9,0.5,0.0
piece_position,1,0.5,9,0.5,0.0
rook_activity,1,0.5,9,0.5,0.0
